Transaction_ID,User_ID,Transfer_Type,Amount,Date,Payment_Status,Reason
MTX_E258FAF7C042,PP1068692,To Self Account,1678.2,2024-02-09,Successful,Successful
MTX_80B43327CBE4,PP0021745,To Mobile Number,2195.34,2024-06-03,Successful,Successful
MTX_D61559C04F15,PP0017430,To QR Code,1934.94,2024-01-07,Successful,Successful
MTX_693373EE78A6,PP1099074,To UPI ID,1975.31,2024-10-06,Successful,Successful
MTX_D3AF01B270AF,PP1054775,To Self Account,1870.31,2024-07-27,Successful,Successful
MTX_0F1F22B6DF76,PP0015185,To Mobile Number,533.89,2024-12-23,Successful,Successful
MTX_A9AA0DEA2BFB,PP0040208,To UPI ID,2913.73,2024-10-28,Successful,Successful
MTX_80D6D3CEB502,PP1096695,To Mobile Number,2894.06,2024-09-04,Successful,Successful
MTX_198505B228FA,PP1067686,To Mobile Number,2801.24,2024-02-02,Failed,Insufficient amount
MTX_AD8002BECE92,PP1065648,To Mobile Number,4387.23,2024-12-01,Successful,Successful
MTX_2FDA77E709AD,PP0024592,To Mobile Number,3740.52,2024-07-26,Failed,Wrong PIN
MTX_602E86F60C95,PP1101029,To QR Code,3922.9,2024-01-24,Successful,Successful
MTX_F2698407392C,PP1076669,To QR Code,3688.41,2024-12-16,Successful,Successful
MTX_7B9EDFD8D2BF,PP0015712,To Self Account,4418.61,2024-04-11,Successful,Successful
MTX_1053D450B8C5,PP0027004,To QR Code,1211.89,2024-12-06,Successful,Successful
MTX_EAD8F5E13116,PP0045753,To Self Account,3220.19,2024-05-14,Successful,Successful
MTX_6125BED96B67,PP1095489,To QR Code,2737.92,2024-08-29,Successful,Successful
MTX_A4A0B76C9E28,PP1106405,To QR Code,1351.25,2024-11-10,Successful,Successful
MTX_ACA1D46DCBB0,PP0034827,To Self Account,2298.39,2024-05-11,Successful,Successful
MTX_4095CA7E10B1,PP1065774,To Self Account,1156.23,2024-05-10,Successful,Successful
MTX_98E028117032,PP1097308,To Self Account,921.29,2024-07-06,Successful,Successful
MTX_D5E8C6583365,PP0047111,To Mobile Number,4966.02,2024-02-26,Successful,Successful
MTX_CF5E28EAD073,PP1069206,To UPI ID,4232.38,2024-06-13,Successful,Successful
MTX_ADCFB0EB2F0A,PP0001413,To UPI ID,1407.49,2024-03-29,Successful,Successful
MTX_6A2F5B225918,PP0042788,To QR Code,4570.56,2024-05-31,Successful,Successful
MTX_F3BAE041E19F,PP1057434,To QR Code,3918.25,2024-11-27,Successful,Successful
MTX_E9836C99BCA7,PP1105390,To Mobile Number,3428.26,2024-07-22,Successful,Successful
MTX_09633C21F6EA,PP0018849,To UPI ID,80.21,2024-09-12,Successful,Successful
